motif,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
267008,0,0,1,0,1,0,0,0,1,0,0,15,0,0,0,0,1,0,0,0
267260,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
266848,0,2,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0
267183,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0
267185,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267029,0,1,1,1,1,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0
267033,1,0,0,0,0,0,0,1,6,0,0,9,0,0,0,0,0,0,1,0
267038,0,1,0,0,0,0,0,0,1,0,2,6,2,0,0,0,0,0,0,0
267194,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
267295,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
267294,0,0,0,1,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0
267299,1,0,2,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
267307,0,0,0,0,0,0,0,0,6,0,0,10,1,0,0,0,0,0,2,0
265045,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
269350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267319,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
300897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303135,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0
303032,1,0,0,1,0,0,0,0,16,0,1,11,0,0,0,0,0,0,2,0
304956,0,0,0,1,1,3,0,0,1,1,0,2,1,0,0,0,4,0,0,0
303035,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
302951,0,0,0,3,1,0,0,0,3,0,0,17,0,1,0,0,0,0,1,0
302955,0,2,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0
302957,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
303139,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,2,0
303046,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303048,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
303144,0,0,0,0,0,0,0,0,5,1,0,7,0,0,0,0,0,0,0,0
303145,0,1,0,2,0,3,0,0,1,0,0,6,0,1,0,0,0,0,1,0
304973,0,1,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0
302972,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
303066,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
305197,0,0,0,0,0,2,0,0,3,0,0,6,0,0,0,0,0,0,1,0
303216,0,0,0,3,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0
302861,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0
301225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
303095,0,0,0,1,1,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0
303174,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
303100,0,0,0,1,0,0,0,0,6,0,0,5,0,2,0,0,0,0,0,0
